Comment,Designator,Footprint,LCSC,Quantity
22pF,"C26,C27",C_0603_1608Metric,C105620,2
47pF,C14,C_0603_1608Metric,C105622,1
12pF,"C30,C31",C_0603_1608Metric,C107034,2
220nF,"C2,C20,C33,C35,C7,C9",C_0603_1608Metric,C107083,6
10uF,"C39,C41,C42",C_0603_1608Metric,C109457,3
8Mhz,Y1,Crystal_SMD_HC49-SD,C12674,1
2K7,R17,R_0603_1608Metric,C13167,1
60V 1A,D3,D_SMA,C134421,1
100nF,"C1,C13,C15,C16,C17,C18,C19,C21,C22,C23,C25,C28,C29,C3,C32,C34,C36,C40,C43,C44,C45,C46,C47,C48,C6,C8",C_0603_1608Metric,C14663,26
MAX9926UAEE+,U3,SOP64P602X175-16N,C1523548,1
1A 60V,F1,Fuse_1206_3216Metric,C163133,1
1nF,"C10,C11,C12,C24",C_0603_1608Metric,C1636,4
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948,1
CJ125_32,U7,LQFP-32_5x5mm_P0.5mm,C18198890,1
0R,"R38,R39",R_0603_1608Metric,C21189,2
1K,"R12,R14,R15,R23,R26,R28,R34,R35,R69,R73",R_0603_1608Metric,C21190,10
100R,"R13,R31,R37,R42,R44,R5,R50",R_0603_1608Metric,C22775,7
120R,R70,R_0603_1608Metric,C22787,1
2K49,"R22,R9",R_0603_1608Metric,C22908,2
1M,R40,R_0603_1608Metric,C22935,1
2K,"R1,R2,R27,R6",R_0603_1608Metric,C22975,4
61.9R,R76,R_0603_1608Metric,C23092,1
4K7,"R55,R59",R_0603_1608Metric,C23162,2
470R,"R18,R24,R25,R30,R36,R4,R51,R54,R58",R_0603_1608Metric,C23179,9
47R,"R29,R3",R_0603_1608Metric,C23182,2
5.1K,"R71,R72",R_0603_1608Metric,C23186,2
51K,"R11,R45",R_0603_1608Metric,C23196,2
9K1,"R57,R60",R_0603_1608Metric,C23260,2
100K,"R19,R32,R75,R80,R85",R_0603_1608Metric,C25803,5
10K,"R16,R20,R21,R33,R41,R43,R46,R47,R48,R49,R52,R53,R56,R61,R65,R66,R7,R77,R8,R81,R82,R83",R_0603_1608Metric,C25804,22
6.8K,R86,R_0603_1608Metric,C26004,1
BSP78HUMA1,"Q1,Q2,Q3,Q4,Q5,Q6",SOT-223-3_TabPin2,C2653794,6
MPXH6400AC6T1,IC2,MPXH6400AC6T1,C2828031,1
STM32F407VETx,U2,LQFP-100_14x14mm_P0.5mm,C28730,1
1N4007-A7,"D11,D12,D16,D4,D9",D_SOD-123,C2902912,5
2.2nF,C37,C_0603_1608Metric,C309517,1
32.768Khz,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,1
47u 50v,"C4,C5",CP_Elec_6.3x7.7,C3349,2
AO3400A,Q7,SOT-23,C344010,1
470K,R78,R_0603_1608Metric,C365173,1
33K,R10,R_0603_1608Metric,C4216,1
TC4424AVOA,IC1,SOIC127P600X175-8N,C44150,1
BAT54S,"D10,D13,D14,D17,D18,D2,D20,D21,D5,D6,D8",SOT-23,C47546,11
ING-VLT,JP1,PinHeader_1x03_P2.54mm_Vertical,C49257,1
VNS3NV04DPTR-E,IC3,SOIC127P600X175-8N,C503069,1
Conn_01x04,"P1,P4",PinHeader_1x04_P2.54mm_Vertical,C5116483,2
SW_Push,SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,C5127964,1
AMS1117-3.3,U6,SOT-223-3_TabPin2,C6186,1
TJA1050,U5,SO-8_5.3x6.2mm_P1.27mm,C6952,1
1N4004,"D1,D15",D_SMA,C727080,2
L7805CDT(UMW),U1,TO-252-2,C7394043,1
1SMB5919BT3G,D7,D_SMB,C7422622,1
RED,"LED1,LED2,LED3,LED4,LED5,LED6",LED_0805_2012Metric,C84256,6
4.7K,"R79,R84",R_0603_1608Metric,C99782,2
3-6437285-0,J1,364372850,,1
